collision_time,day_of_week,weather_1,type_of_collision,road_surface,road_cond_1,lighting,point_x,point_y,at_fault,party_soberiety,oaf_1,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,stwd_vehicle_type,race,victim_age,victim_sex,victim_role,safety_equip_used,victim_seating_postion,victim_ejected,severe_injury
06:55:00,3,A,B,A,H,A,-118.2020724,34.12054664,Y,A,A,0,1,B,2016,C,H,38,M,1,PW,1,0,0
15:40:00,3,A,D,A,H,A,-118.4102822,34.20659125,Y,A,N,0,1,I,2015,C,O,26,M,1,PW,1,1,0
16:15:00,1,A,B,A,H,A,-118.1938162,34.06393523,N,A,ZZ,0,1,B,2015,C,H,27,M,1,AP,1,1,0
13:49:00,1,B,E,B,H,A,-117.9089397,34.14655895,Y,A,N,0,1,E,2015,C,W,25,M,1,PX,1,1,0
17:00:00,4,A,B,A,H,A,-118.6079812,34.21961,Y,A,F,0,1,B,2014,C,H,23,M,1,PW,1,1,0
22:30:00,5,A,A,A,H,A,-118.51863,34.22100006,N,A,N,0,1,B,2016,C,W,20,M,1,PW,1,0,1
10:30:00,5,A,C,A,H,A,-118.37661,34.07606005,Y,A,N,0,1,B,2007,C,B,43,M,1,AM,1,1,0
21:05:00,4,A,B,A,H,C,-118.3731434,34.12156437,Y,A,N,0,1,I,2005,C,W,30,M,1,PW,1,1,0
14:30:00,1,A,C,A,H,A,-118.0526248,34.15071158,N,A,N,0,1,A,2016,C,W,62,M,1,PW,1,1,0
21:25:00,4,A,D,A,H,C,-118.58852,34.2286214,Y,A,A,0,1,B,2013,C,H,21,M,1,PW,1,0,0
18:45:00,5,A,B,A,H,C,-118.4674701,34.2573101,N,A,N,0,1,B,2017,C,H,23,M,1,PW,1,1,0
19:05:00,2,A,D,A,H,C,-118.4400001,34.1648601,N,A,N,0,1,B,2009,C,W,29,M,1,PW,1,1,0
18:11:00,5,A,D,A,H,C,-118.0565101,33.98602009,N,A,N,0,1,B,2002,C,H,54,M,1,PW,1,2,0
08:55:00,1,A,A,A,H,A,-118.2867401,34.0908701,N,A,N,0,1,B,2006,C,H,34,M,1,PW,1,1,1
08:25:00,5,A,B,A,H,A,-118.5094241,34.22113,Y,A,N,0,1,B,2015,C,H,30,M,1,PW,1,0,0
06:20:00,3,E,E,B,H,A,-118.1407937,33.95897895,N,A,N,0,1,B,2007,C,H,59,M,1,PW,1,0,0
21:30:00,2,A,F,A,H,C,-118.2830701,33.91944007,Y,A,N,0,1,B,2002,C,H,18,M,1,BM,1,1,0
22:50:00,2,A,A,A,H,C,-118.3176801,34.03264001,N,H,N,0,2,N,2006,C,H,27,F,2,PY,2,0,1
18:55:00,2,A,H,A,H,C,-118.2076601,34.06610009,N,A,ZZ,0,1,B,2015,C,H,28,F,1,PW,1,3,0
18:40:00,4,A,C,A,H,C,-118.1383993,33.92620943,Y,B,A,0,2,B,2016,C,H,17,F,2,PY,2,1,1
18:40:00,4,A,C,A,H,C,-118.1383993,33.92620943,Y,B,A,0,2,B,2016,C,H,23,M,1,PV,1,0,1
22:50:00,2,A,A,A,H,C,-118.3176801,34.03264001,N,H,N,0,2,N,2006,C,H,36,M,1,PW,1,0,1
13:32:00,2,A,D,A,H,A,-118.3139504,34.07153441,Y,A,N,0,1,B,2005,C,H,19,M,1,PW,1,1,0
20:30:00,4,A,A,A,H,C,-118.3876401,34.04111008,N,A,N,0,1,B,2004,C,W,29,M,1,PW,1,1,0
12:25:00,6,A,B,A,H,A,-118.6059373,34.19639773,N,A,N,0,2,B,2016,C,W,23,F,2,NW,2,2,0
12:25:00,6,A,B,A,H,A,-118.6059373,34.19639773,N,A,N,0,2,B,2016,C,W,23,M,1,NW,1,2,0
18:00:00,6,A,B,A,H,A,-118.3442039,34.05525701,N,A,N,0,1,B,2005,C,W,25,M,1,PW,1,0,0
07:50:00,2,A,B,A,H,A,-118.4155477,33.99764133,N,A,N,0,1,B,2017,C,O,27,M,1,PW,1,0,1
18:13:00,2,A,H,A,H,C,-118.35122,33.79938004,Y,A,M,0,1,B,2016,C,W,29,F,1,PW,1,0,0
10:10:00,7,A,A,A,H,A,-118.36569,34.09798009,N,A,A,0,1,B,2009,C,W,27,M,1,PW,1,1,0
16:40:00,6,A,D,A,H,A,-118.23902,33.94565011,Y,A,N,0,1,D,2005,C,H,23,M,1,PW,1,1,0
12:09:00,4,A,C,A,H,A,-118.4534244,34.07699481,Y,A,N,0,1,H,2009,C,H,20,M,1,PW,1,1,0
15:10:00,5,A,D,A,H,A,-118.3814301,34.05936001,Y,A,N,0,1,E,2014,C,O,25,M,1,CM,1,0,0
02:05:00,6,B,D,A,H,C,-118.3378095,34.10447053,N,A,N,0,1,B,2011,C,B,24,M,1,PW,1,0,0
13:03:00,5,A,E,A,H,A,-118.2379201,33.94424005,Y,A,N,0,1,C,2006,C,B,22,M,1,BP,1,1,0
20:15:00,5,A,B,A,H,E,-118.27403,34.01491003,Y,A,N,0,1,N,2001,C,B,17,M,1,PW,2,0,0
14:17:00,3,A,A,A,H,A,-118.2538314,34.04087992,N,A,N,0,1,B,2015,C,A,47,M,1,NW,1,0,0
17:19:00,3,A,D,A,H,A,-118.3825701,33.86980004,N,A,N,0,1,A,2003,C,H,49,M,1,PW,1,1,0
