case_id,party_number,victim_number,accident_year,collision_time,day_of_week,weather_1,primary_coll_factor,type_of_collision,at_fault,party_sex,party_soberiety,oaf_1,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,race,road_surface,road_cond_1,lighting,point_x,point_y,victim_age,severe_injury,safety_equip_used,victim_sex,victim_seating_postion,victim_ejected
8430336,2,2,2017,1620,6,A,A,A,N,M,A,N,B,2003,FORD,D,O,A,H,A,-118.28871,34.11307,28,0,GL,M,3,0
8440746,2,1,2017,1335,1,A,A,C,N,M,A,N,H,2005,CHEVROLET,D,W,A,H,A,-118.0583846,33.95131397,67,0,GM,M,1,0
8440746,2,2,2017,1335,1,A,A,C,N,M,A,N,H,2005,CHEVROLET,D,W,A,H,A,-118.0583846,33.95131397,65,0,GM,F,3,0
8473491,2,1,2017,1352,2,A,A,D,N,M,A,N,B,2017,DODGE,D,H,A,H,A,-118.0818101,33.83413002,63,0,GM,M,1,0
8498084,2,1,2017,916,1,A,A,D,N,M,A,N,B,2016,GMC,D,H,A,H,A,-118.3526701,33.92367001,57,0,GL,M,1,0
8536288,1,1,2017,700,2,A,A,D,N,M,A,N,B,2010,FORD,D,W,A,H,A,-118.2775557,34.01241721,22,0,GM,M,3,0
8863281,1,1,2019,820,2,A,A,D,Y,M,A,N,E,2017,FORD,D,H,A,H,A,-118.5405731,34.28927994,22,0,GL,M,3,0
90366335,2,1,2017,1330,7,A,A,C,N,M,A,H,A,2006,TOYT,D,H,A,H,A,-117.8116,34.02529,52,0,GP,F,6,0
90585248,3,2,2017,950,4,A,A,B,N,M,A,N,B,2015,CHEV,D,H,A,H,A,-118.170023,33.987239,3,0,PU,F,4,0
90575578,2,1,2017,1315,5,A,A,C,N,M,A,G,B,1999,TOYOTA,D,A,A,H,A,-118.0877449,34.03720108,34,0,GM,M,1,0
90585248,3,1,2017,950,4,A,A,B,N,M,A,N,B,2015,CHEV,D,H,A,H,A,-118.170023,33.987239,23,0,GM,F,3,0
90611080,1,1,2017,1205,7,A,A,E,Y,M,A,N,M,2003,FORD,D,H,A,H,A,-118.0289017,33.92799423,34,0,GM,M,1,0
